Crosses,LinebreaksAttemptedDefensiveLine,Passes,PassesCompleted,TimePlayed,player_id,team,team_id,advanced,position,linebreaks_per90,linebreaks_per100passes,crosses_per90,passing_accuracy_rate
1,5.0,222,198,302.36645,316002,AUT,43934,True,Defender,1.488260354282031,2.2522522522522523,0.2976520708564062,89.1891891891892
4,7.0,135,111,440.15866666666665,429157,MEX,43911,True,Forward,1.4313020456259713,5.185185185185185,0.8178868832148407,82.22222222222221
9,10.0,136,114,231.85036666666667,499912,USA,43921,True,Midfielder,3.881814003313344,7.352941176470589,3.49363260298201,83.82352941176471
3,2.0,22,21,82.19483333333332,419055,USA,43921,True,Forward,2.189918668853882,9.090909090909092,3.284878003280823,95.45454545454545
4,8.0,224,200,425.69913333333335,308386,BRA,43924,True,Midfielder,1.6913353672163143,3.571428571428571,0.8456676836081571,89.28571428571429
2,2.0,34,30,90.04825,406304,USA,43921,True,Forward,1.9989283523000172,5.88235294117647,1.9989283523000172,88.23529411764706
0,0.0,10,7,95.12960000000001,369768,PAR,43928,True,Forward,0.0,0.0,0.0,70.0
0,0.0,58,54,104.90254999999999,436599,USA,43921,True,Defender,0.0,0.0,0.0,93.10344827586206
1,1.0,27,18,198.4358166666667,520066,PAR,43928,True,Defender,0.4535471544997462,3.7037037037037033,0.4535471544997462,66.66666666666666
18,13.0,221,181,399.23064999999997,441251,USA,43921,True,Defender,2.930636713388614,5.88235294117647,4.057804680076543,81.90045248868778
0,0.0,43,42,95.14646666666667,394456,BRA,43924,True,Midfielder,0.0,0.0,0.0,97.67441860465115
4,6.0,67,49,306.1456166666667,369761,PAR,43928,True,Midfielder,1.7638665086227756,8.955223880597014,1.1759110057485171,73.13432835820896
0,2.0,30,23,73.62925,429392,BRA,43924,True,Midfielder,2.4446806126641247,6.666666666666667,0.0,76.66666666666667
1,1.0,38,33,247.66133333333335,419082,USA,43921,True,Forward,0.3633994810117041,2.631578947368421,0.3633994810117041,86.8421052631579
0,4.0,23,12,170.38978333333336,463127,PAR,43928,True,Forward,2.112802733575477,17.391304347826086,0.0,52.17391304347826
0,6.0,231,211,397.65656666666666,390238,USA,43921,True,Midfielder,1.3579556966115736,2.5974025974025974,0.0,91.34199134199135
10,4.0,44,30,143.85648333333336,433872,BRA,43924,True,Forward,2.502494094519433,9.090909090909092,6.256235236298584,68.18181818181817
0,3.0,132,107,520.8456,308370,BRA,43924,True,Goalkeeper,0.518387790930748,2.272727272727273,0.0,81.06060606060606
11,27.0,220,173,504.27435,390259,USA,43921,True,Midfielder,4.818805477613525,12.272727272727273,1.9632170464351397,78.63636363636364
0,2.0,291,277,419.95593333333335,419062,USA,43921,True,Defender,0.42861639927617795,0.6872852233676976,0.0,95.1890034364261
3,3.0,77,72,117.45150000000001,416576,MEX,43911,True,Midfielder,2.2988212155655736,3.896103896103896,2.2988212155655736,93.5064935064935
0,1.0,22,22,49.02105,430594,BRA,43924,True,Defender,1.8359459864690781,4.545454545454546,0.0,100.0
0,0.0,13,7,117.51943333333334,430759,MEX,43911,True,Forward,0.0,0.0,0.0,53.84615384615385
1,8.0,66,48,348.98519999999996,356731,MEX,43911,True,Forward,2.0631247399603194,12.121212121212121,0.2578905924950399,72.72727272727273
0,1.0,117,97,554.4526166666667,385306,PAR,43928,True,Midfielder,0.16232225675310938,0.8547008547008548,0.0,82.90598290598291
4,2.0,53,46,100.61593333333333,423700,USA,43921,True,Defender,1.7889810692673593,3.7735849056603774,3.5779621385347187,86.79245283018868
7,2.0,26,21,55.3918,314197,BRA,43924,True,Forward,3.2495784574612125,7.6923076923076925,11.373524601114243,80.76923076923077
12,4.0,69,54,208.43691666666672,495046,PAR,43928,True,Midfielder,1.727141265362861,5.797101449275362,5.181423796088584,78.26086956521739
1,1.0,7,6,22.707716666666656,390278,USA,43921,True,Forward,3.9634103825204816,14.285714285714285,3.9634103825204816,85.71428571428571
0,4.0,155,120,42.18448333333333,485070,MEX,43911,True,Goalkeeper,8.53394356297675,2.5806451612903225,0.0,77.41935483870968
